food_kr,food_en,image_url
자스민 그린 밀크티 핫,Jasmine Green Milk Tea Hot,"https://source.unsplash.com/400x400/?Jasmine%20Green%20Milk%20Tea%20Hot,food"
모둠 감자튀김,Assorted French Fries,"https://source.unsplash.com/400x400/?Assorted%20French%20Fries,food"
민트모카 핫,Mint Mocha Hot,"https://source.unsplash.com/400x400/?Mint%20Mocha%20Hot,food"
포테이토 피자 오리진,Potato Pizza Origin,"https://source.unsplash.com/400x400/?Potato%20Pizza%20Origin,food"
체다파인애플 피자 골드스윗,Cheddar Pineapple Pizza Gold Sweet,"https://source.unsplash.com/400x400/?Cheddar%20Pineapple%20Pizza%20Gold%20Sweet,food"
페퍼로니 피자 마니아 에어도우,Pepperoni Pizza Mania Airdough,"https://source.unsplash.com/400x400/?Pepperoni%20Pizza%20Mania%20Airdough,food"
유과,Oil,"https://source.unsplash.com/400x400/?Oil,food"
연두부찌개,Green tofu stew,"https://source.unsplash.com/400x400/?Green%20tofu%20stew,food"
어니언치즈크림,Onion Cheese Cream,"https://source.unsplash.com/400x400/?Onion%20Cheese%20Cream,food"
리얼불고기 피자 더블치즈 엣지,Real Beef Pizza Double Cheese Edge,"https://source.unsplash.com/400x400/?Real%20Beef%20Pizza%20Double%20Cheese%20Edge,food"
트리플 치즈 포카치아,Triple cheese focaccia,"https://source.unsplash.com/400x400/?Triple%20cheese%20focaccia,food"
칠리츄로덕,Chili Churro Duck,"https://source.unsplash.com/400x400/?Chili%20Churro%20Duck,food"
에그불고기 버거,Egg Bulgogi Burger,"https://source.unsplash.com/400x400/?Egg%20Bulgogi%20Burger,food"
베이컨포테이토 피자 프리첼 치즈,Bacon Potato Pizza Pretzel Cheese,"https://source.unsplash.com/400x400/?Bacon%20Potato%20Pizza%20Pretzel%20Cheese,food"
바질 할라피뇨 크림치즈 크로플,Basil Jalapeño Cream Cheese Cropple,"https://source.unsplash.com/400x400/?Basil%20Jalape%C3%B1o%20Cream%20Cheese%20Cropple,food"
스팸맥앤치즈 피자,Spam Mac and Cheese Pizza,"https://source.unsplash.com/400x400/?Spam%20Mac%20and%20Cheese%20Pizza,food"
슈퍼슈프림 피자 더블치즈 페퍼로니 엣지,Super Supreme Pizza Double Cheese Pepperoni Edge,"https://source.unsplash.com/400x400/?Super%20Supreme%20Pizza%20Double%20Cheese%20Pepperoni%20Edge,food"
우유 마카롱,Milk macarons,"https://source.unsplash.com/400x400/?Milk%20macarons,food"
더블햄모짜렐라 샌드위치,Double ham mozzarella sandwich,"https://source.unsplash.com/400x400/?Double%20ham%20mozzarella%20sandwich,food"
부추 겉절이,Leek peripheral girdle,"https://source.unsplash.com/400x400/?Leek%20peripheral%20girdle,food"
윙+다리 치킨,Wing + Leg Chicken,"https://source.unsplash.com/400x400/?Wing%20%2B%20Leg%20Chicken,food"
콰트로치즈 파니니,Quattro Cheese Panini,"https://source.unsplash.com/400x400/?Quattro%20Cheese%20Panini,food"
치즈 품은 닭갈비,Chicken ribs with cheese,"https://source.unsplash.com/400x400/?Chicken%20ribs%20with%20cheese,food"
딸기생크림 케이크 2호,Strawberry cream cake No. 2,"https://source.unsplash.com/400x400/?Strawberry%20cream%20cake%20No.%202,food"
초코무스케이크,Chocomuscake,"https://source.unsplash.com/400x400/?Chocomuscake,food"
깍두기,Kkakdugi,"https://source.unsplash.com/400x400/?Kkakdugi,food"
치즈폭탄 더블임실치즈하와이언 피자,Cheese Bomb Double-Empty Cheese Hawaiian Pizza,"https://source.unsplash.com/400x400/?Cheese%20Bomb%20Double-Empty%20Cheese%20Hawaiian%20Pizza,food"
리얼 치즈 베이글,Real cheese bagel,"https://source.unsplash.com/400x400/?Real%20cheese%20bagel,food"
배추 된장국,Cabbage miso soup,"https://source.unsplash.com/400x400/?Cabbage%20miso%20soup,food"
그린티 블렌디모 아이스,Green Tea Blendimo Ice,"https://source.unsplash.com/400x400/?Green%20Tea%20Blendimo%20Ice,food"
삶은 땅콩 조림,Boiled peanuts,"https://source.unsplash.com/400x400/?Boiled%20peanuts,food"
떠먹는아이스박스 케이크,Drinking Ice Box Cake,"https://source.unsplash.com/400x400/?Drinking%20Ice%20Box%20Cake,food"
카라멜 라떼 마끼아또 아이스,Caramel Latte Macchiato Ice,"https://source.unsplash.com/400x400/?Caramel%20Latte%20Macchiato%20Ice,food"
통삽겹파인 피자,Whole Shaped Pine Pizza,"https://source.unsplash.com/400x400/?Whole%20Shaped%20Pine%20Pizza,food"
스노우 화이트 애플 파이,Snow White Apple Pie,"https://source.unsplash.com/400x400/?Snow%20White%20Apple%20Pie,food"
버터크림빵,Buttercream Bread,"https://source.unsplash.com/400x400/?Buttercream%20Bread,food"
더블 한우불고기 버거,Double Korean beef burger,"https://source.unsplash.com/400x400/?Double%20Korean%20beef%20burger,food"
무지개떡,Rainbow rice cake,"https://source.unsplash.com/400x400/?Rainbow%20rice%20cake,food"
상그리아 유자티 아이스,Sangria Yuzati Ice,"https://source.unsplash.com/400x400/?Sangria%20Yuzati%20Ice,food"
카야치즈 토스트,Kaya Cheese Toast,"https://source.unsplash.com/400x400/?Kaya%20Cheese%20Toast,food"
골든맥앤치즈치킨 버거,Golden Mac & Cheese Chicken Burger,"https://source.unsplash.com/400x400/?Golden%20Mac%20%26%20Cheese%20Chicken%20Burger,food"
콜드브루 디카페인 라떼 아이스,Cold brew decaffeinated latte ice,"https://source.unsplash.com/400x400/?Cold%20brew%20decaffeinated%20latte%20ice,food"
갈릭스테이크 피자,Gallic steak pizza,"https://source.unsplash.com/400x400/?Gallic%20steak%20pizza,food"
매생이국,Mae Saeng Exotic,"https://source.unsplash.com/400x400/?Mae%20Saeng%20Exotic,food"
폭신폭신우유 브레드,Fluffy Fluffy Milk Bread,"https://source.unsplash.com/400x400/?Fluffy%20Fluffy%20Milk%20Bread,food"
무화과스콘,Fig Guacorn,"https://source.unsplash.com/400x400/?Fig%20Guacorn,food"
바삭쫄깃한 로제품은달걀,Crispy chewy raw products silver eggs,"https://source.unsplash.com/400x400/?Crispy%20chewy%20raw%20products%20silver%20eggs,food"
약과 쿠키,Medicine and cookies,"https://source.unsplash.com/400x400/?Medicine%20and%20cookies,food"
다크 초콜릿 마카롱,Dark chocolate macarons,"https://source.unsplash.com/400x400/?Dark%20chocolate%20macarons,food"
녹차,Green tea,"https://source.unsplash.com/400x400/?Green%20tea,food"
밤롤브레드,Balm roll bread,"https://source.unsplash.com/400x400/?Balm%20roll%20bread,food"
앗메리카노 아이스,Assamericano Ice,"https://source.unsplash.com/400x400/?Assamericano%20Ice,food"
오리지널스틱,Original Stick,"https://source.unsplash.com/400x400/?Original%20Stick,food"
세숫대야 바지락칼국수,Washutae Night Bajrak Noodles,"https://source.unsplash.com/400x400/?Washutae%20Night%20Bajrak%20Noodles,food"
코다리조림,Kodari Rim,"https://source.unsplash.com/400x400/?Kodari%20Rim,food"
딸기 마카롱,Strawberry macarons,"https://source.unsplash.com/400x400/?Strawberry%20macarons,food"
쉬림프 버거,Shrimp Burger,"https://source.unsplash.com/400x400/?Shrimp%20Burger,food"
인절미 아츄,Inseolmi Achu,"https://source.unsplash.com/400x400/?Inseolmi%20Achu,food"
오리지널싱글 버거,Original single burger,"https://source.unsplash.com/400x400/?Original%20single%20burger,food"
마늘장아찌무침,Garlic Longnose Clutch,"https://source.unsplash.com/400x400/?Garlic%20Longnose%20Clutch,food"
명태 매운탕,Myeongtae Maeuntang,"https://source.unsplash.com/400x400/?Myeongtae%20Maeuntang,food"
말차베리 라떼,Matcha berry latte,"https://source.unsplash.com/400x400/?Matcha%20berry%20latte,food"
잡곡밥,Mixed grain rice,"https://source.unsplash.com/400x400/?Mixed%20grain%20rice,food"
스페니쉬연유카페 라떼 핫,Spanish Café Latte Hot,"https://source.unsplash.com/400x400/?Spanish%20Caf%C3%A9%20Latte%20Hot,food"
연유 카페 라떼 핫,Condensed cafe latte hot,"https://source.unsplash.com/400x400/?Condensed%20cafe%20latte%20hot,food"
가자미구이,Gazamigui,"https://source.unsplash.com/400x400/?Gazamigui,food"
바닐라빈 라떼 핫,Vanilla bean latte hot,"https://source.unsplash.com/400x400/?Vanilla%20bean%20latte%20hot,food"
어묵조림,Cooked fish cakes,"https://source.unsplash.com/400x400/?Cooked%20fish%20cakes,food"
미나리,Oenanthe javanica,"https://source.unsplash.com/400x400/?Oenanthe%20javanica,food"
와퍼주니어 버거,Whopper Junior Burger,"https://source.unsplash.com/400x400/?Whopper%20Junior%20Burger,food"
뉴욕 오리진 피자 나폴리,New York Origin Pizza Naples,"https://source.unsplash.com/400x400/?New%20York%20Origin%20Pizza%20Naples,food"
블록팩 슈팅스타 아이스크림,Blockpack Shooting Star Ice Cream,"https://source.unsplash.com/400x400/?Blockpack%20Shooting%20Star%20Ice%20Cream,food"
흑당 버블 라떼 아이스,Black Sugar Bubble Latte Ice,"https://source.unsplash.com/400x400/?Black%20Sugar%20Bubble%20Latte%20Ice,food"
딸기 스파클링 에이드,Strawberry Sparkling Aid,"https://source.unsplash.com/400x400/?Strawberry%20Sparkling%20Aid,food"
린1 다크초코 스무디,Lean 1 Dark Chocolate Smoothie,"https://source.unsplash.com/400x400/?Lean%201%20Dark%20Chocolate%20Smoothie,food"
치즈블라썸 스테이크 피자 치즈캡,Cheese blossom steak pizza cheese cap,"https://source.unsplash.com/400x400/?Cheese%20blossom%20steak%20pizza%20cheese%20cap,food"
달고나카페 라떼 핫,Dalgona Cafe Latte Hot,"https://source.unsplash.com/400x400/?Dalgona%20Cafe%20Latte%20Hot,food"
오레오 롱츄,Oreo Longchu,"https://source.unsplash.com/400x400/?Oreo%20Longchu,food"
수제비,Handmade Beef,"https://source.unsplash.com/400x400/?Handmade%20Beef,food"
헤이즐넛아메리카노,Hazelnut Americano,"https://source.unsplash.com/400x400/?Hazelnut%20Americano,food"
스윗고르곤졸라 피자,Sweet Gorgonzola Pizza,"https://source.unsplash.com/400x400/?Sweet%20Gorgonzola%20Pizza,food"
BBQ리얼 시카고 피자,BBQReal Chicago Pizza,"https://source.unsplash.com/400x400/?BBQReal%20Chicago%20Pizza,food"
바베큐포테이토 피자,Barbecue potato pizza,"https://source.unsplash.com/400x400/?Barbecue%20potato%20pizza,food"
레몬블루밍티 아이스,Lemon Blooming Tea Ice,"https://source.unsplash.com/400x400/?Lemon%20Blooming%20Tea%20Ice,food"
초코나무숲 아이스크림,Choco Tree Forest Ice Cream,"https://source.unsplash.com/400x400/?Choco%20Tree%20Forest%20Ice%20Cream,food"
기름장,Oil field,"https://source.unsplash.com/400x400/?Oil%20field,food"
바싹불고기 피자,Bulgogi pizza,"https://source.unsplash.com/400x400/?Bulgogi%20pizza,food"
남도식 들깨 버섯전골,Namdo-style perilla mushroom pottery,"https://source.unsplash.com/400x400/?Namdo-style%20perilla%20mushroom%20pottery,food"
몸국,Body Soup,"https://source.unsplash.com/400x400/?Body%20Soup,food"
프리미엄 블렌드 딥 라떼 아이스,Premium Blend Deep Latte Ice,"https://source.unsplash.com/400x400/?Premium%20Blend%20Deep%20Latte%20Ice,food"
호두 당근 케이크,Walnut carrot cake,"https://source.unsplash.com/400x400/?Walnut%20carrot%20cake,food"
